Date,HDFCBANK.NS,JINDALSTEL.NS,JUBLFOOD.NS,SUNPHARMA.NS,TCS.NS
2018-05-14,471.7115173339844,255.83441162109375,239.08721923828125,438.82379150390625,1409.890380859375
2018-05-15,475.4563293457031,248.73471069335938,235.42410278320312,434.0539245605469,1429.9495849609375
2018-05-16,472.0848083496094,250.5096435546875,240.9947509765625,436.87884521484375,1434.6717529296875
2018-05-17,473.1114501953125,252.8761749267578,240.27391052246094,444.4271240234375,1433.8094482421875
2018-05-18,469.4716491699219,242.5225067138672,244.9766082763672,430.5807800292969,1438.0181884765625
2018-05-21,465.01531982421875,236.50753784179688,247.86004638671875,410.9920959472656,1460.4788818359375
2018-05-22,464.28033447265625,237.00054931640625,246.4428253173828,419.5592956542969,1440.8311767578125
2018-05-23,459.053955078125,222.99842834472656,251.5917510986328,418.8645935058594,1435.1649169921875
2018-05-24,463.3703918457031,224.4775390625,260.2615966796875,428.68212890625,1479.7576904296875
2018-05-25,468.666748046875,232.36602783203125,261.0805358886719,432.016357421875,1472.407470703125
2018-05-28,476.4828796386719,233.64791870117188,267.783935546875,462.8117980957031,1438.0181884765625
2018-05-29,474.2430114746094,231.0348663330078,252.68527221679688,462.6265869140625,1446.825927734375
2018-05-30,477.9178161621094,230.73904418945312,245.79061889648438,458.0420227050781,1442.96630859375
2018-05-31,502.36138916015625,226.35105895996094,246.0309295654297,444.8902893066406,1441.72412109375
2018-06-01,495.5871887207031,223.44216918945312,245.29537963867188,448.59503173828125,1434.602294921875
2018-06-04,480.46551513671875,226.74549865722656,251.1847686767578,443.2694091796875,1444.3740234375
2018-06-05,484.5511779785156,225.16778564453125,251.50350952148438,438.5459289550781,1425.6181640625
2018-06-06,483.08355712890625,231.62649536132812,258.0892333984375,453.6889953613281,1429.0545654296875
2018-06-07,484.2223815917969,241.14202880859375,260.4969787597656,452.6700744628906,1437.169677734375
2018-06-08,481.2051696777344,237.59219360351562,262.7673645019531,489.2542724609375,1446.733642578125
2018-06-11,479.54974365234375,238.4796600341797,264.59161376953125,496.1542663574219,1448.886962890625
2018-06-12,479.9136657714844,243.26205444335938,264.5376892089844,500.5536804199219,1474.8057861328125
2018-06-13,477.0020446777344,242.47320556640625,261.9190979003906,505.9718017578125,1510.4957275390625
2018-06-14,478.3992004394531,240.20526123046875,266.9061584472656,517.9656982421875,1480.2294921875
2018-06-15,476.5676574707031,230.73904418945312,271.206787109375,529.126220703125,1523.7039794921875
2018-06-18,474.1139221191406,226.35105895996094,275.65936279296875,528.0147094726562,1514.5538330078125
2018-06-19,475.1353454589844,219.25140380859375,269.8582458496094,518.6140747070312,1510.8270263671875
2018-06-20,482.8017883300781,227.18919372558594,267.0581970214844,522.4577026367188,1509.129638671875
2018-06-21,483.1423034667969,222.0123748779297,266.1068420410156,513.5665283203125,1506.5625
2018-06-22,489.18865966796875,227.68223571777344,273.5409851074219,534.6370239257812,1498.6539306640625
2018-06-25,491.9123840332031,222.8998260498047,273.59979248046875,529.5892944335938,1506.4796142578125
2018-06-26,491.618896484375,220.1881561279297,275.91436767578125,530.6544189453125,1533.5994873046875
2018-06-27,496.0567932128906,210.1302947998047,272.7073059082031,534.3129272460938,1538.5672607421875
2018-06-28,500.34210205078125,206.97488403320312,267.607421875,525.4215087890625,1525.89794921875
2018-06-29,495.0823669433594,219.94161987304688,271.9521789550781,522.3650512695312,1530.080078125
2018-07-02,486.8170471191406,204.0659942626953,276.3066711425781,521.5779418945312,1533.06103515625
2018-07-03,486.1009216308594,205.7423095703125,280.8573913574219,531.256591796875,1551.8583984375
2018-07-04,493.9317321777344,213.43359375,280.2786865234375,536.53564453125,1545.3170166015625
2018-07-05,498.6748962402344,208.89772033691406,277.846435546875,525.097412109375,1557.0340576171875
2018-07-06,496.655517578125,212.64476013183594,267.8329772949219,516.9006958007812,1584.0703125
2018-07-09,499.1209716796875,218.16671752929688,276.934326171875,526.8107299804688,1559.2698974609375
2018-07-10,503.9933776855469,223.68869018554688,277.6797180175781,522.3189086914062,1552.7276611328125
2018-07-11,504.4277038574219,214.71548461914062,280.0923767089844,519.3551025390625,1639.5106201171875
2018-07-12,508.58380126953125,215.84947204589844,279.435302734375,522.7817993164062,1632.4305419921875
2018-07-13,512.0941772460938,203.2278594970703,276.31646728515625,518.4288940429688,1640.5040283203125
2018-07-16,509.26483154296875,193.26858520507812,278.45452880859375,494.533447265625,1647.21142578125
2018-07-17,511.11968994140625,196.226806640625,280.1903991699219,508.14837646484375,1661.275634765625
2018-07-18,510.9905090332031,183.60516357421875,278.22894287109375,509.3061218261719,1659.69921875
2018-07-19,513.3152465820312,180.20323181152344,277.7385559082031,504.721435546875,1644.0584716796875
2018-07-20,514.008056640625,180.84417724609375,290.5765380859375,518.7529907226562,1656.6705322265625
2018-07-23,506.3531494140625,184.83773803710938,284.476318359375,520.28125,1664.1798095703125
2018-07-24,507.12799072265625,193.1699676513672,281.92633056640625,521.1612548828125,1658.661865234375
2018-07-25,509.6170654296875,197.45936584472656,274.67864990234375,516.947021484375,1644.1416015625
2018-07-26,514.8414916992188,192.529052734375,273.90380859375,514.4000244140625,1630.2017822265625
2018-07-27,517.0838012695312,200.86129760742188,277.5816345214844,515.9281616210938,1612.818359375
2018-07-30,509.5112609863281,199.92454528808594,278.532958984375,521.1612548828125,1613.5238037109375
2018-07-31,511.7654724121094,202.58689880371094,275.57110595703125,526.5328979492188,1609.8726806640625
2018-08-01,506.88140869140625,198.88916015625,273.76654052734375,532.22900390625,1639.9925537109375
2018-08-02,500.1894226074219,198.59332275390625,278.072021484375,537.554443359375,1616.677001953125
2018-08-03,498.1817321777344,200.22036743164062,284.7117004394531,542.6022338867188,1642.440673828125
2018-08-06,496.4559020996094,204.26321411132812,292.89117431640625,533.6182250976562,1639.2044677734375
2018-08-07,500.3537292480469,211.60939025878906,292.49884033203125,527.644287109375,1632.400390625
2018-08-08,501.6335754394531,214.07455444335938,294.11712646484375,531.626953125,1637.918212890625
2018-08-09,497.442138671875,213.9266357421875,293.9895935058594,529.2651977539062,1638.2086181640625
2018-08-10,496.4910888671875,200.71336364746094,298.4225769042969,513.1034545898438,1653.766845703125
2018-08-13,491.13751220703125,197.06495666503906,294.65655517578125,522.2724609375,1659.616455078125
2018-08-14,490.538818359375,196.71983337402344,295.6176452636719,557.374755859375,1662.4375
2018-08-16,487.3923645019531,189.17645263671875,296.0981750488281,573.9533081054688,1666.54443359375
2018-08-17,487.7798156738281,196.02957153320312,296.2845153808594,577.47265625,1670.0709228515625
